OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
6631,098_SA1,Commercial,Retail,Nursery,Special Use,,NA,NA
6632,098_SA1,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
6633,098_SA1,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,Requires Design Review
6634,098_SA1,Commercial,Retail,Service Stations,Special Use,,NA,Pumps/Use Permit
6635,098_SA1,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,Requires Design Review
6636,098_SA1,Commercial,Retail,"Furniture, Home Furnishings and Equipment",Allowed,,NA,Requires Design Review
6637,098_SA1,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,Requires Design Review
6638,098_SA1,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
6639,098_SA1,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
6640,098_SA1,Commercial,Services,Animal Husbandry Services,Allowed,,NA,Requires Design Review
6641,098_SA1,Commercial,Services,Personal Services,Allowed,,NA,Requires Design Review
6642,098_SA1,Commercial,Services,Professional Offices,Allowed,,NA,Requires Design Review
6643,098_SA1,Commercial,Services,Broadcasting Studios,Allowed,,NA,Requires Design Review
6644,098_SA1,Commercial,Services,Repair Services,Special Use,,NA,No Outside Storage
6645,098_SA1,Commercial,Services,Business Support Services,Allowed,,NA,Requires Design Review
6646,098_SA1,Commercial,Services,Schools - Business and Vocational,Allowed,,NA,Requires Design Review
6647,098_SA1,Commercial,Services,Health Care Services,Allowed,,NA,Requires Design Review
6648,098_SA1,Commercial,Light Industrial,Printing and Publishing,Special Use,,NA,NA
6649,098_SA1,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
6650,098_SA1,Public Services,General,Local Public Health and Safety Facilities,Special Use,,NA,NA
6651,098_SA1,Public Services,General,Religious Assembly,Allowed,,NA,Requires Design Review
6652,098_SA1,Public Services,General,Collection Stations,Special Use,,NA,NA
6653,098_SA1,Public Services,General,Cultural Facilities,Allowed,,NA,Requires Design Review
6654,098_SA1,Public Services,General,Public Utility Centers,Special Use,,NA,NA
6655,098_SA1,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,"Requires Design Review
"
6656,098_SA1,Public Services,General,Schools - Pre-Schools,Allowed,,NA,Requires Design Review
6657,098_SA1,Public Services,General,Government Offices,Special Use,,NA,CSLT
6658,098_SA1,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
6659,098_SA1,Public Services,General,Local Post Office,Special Use,,NA,NA
6660,098_SA1,Public Services,General,Social Service Organizations,Special Use,,NA,CSLT
6661,098_SA1,Public Services,Linear Public Facilities,Threshold-Related Research Facilities,Special Use,,NA,NA
6662,098_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6663,098_SA1,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6664,098_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6665,098_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6666,098_SA1,Recreation,Recreation,Beach Recreation,Allowed,,NA,Requires Design Review
6667,098_SA1,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
6668,098_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6669,098_SA1,Recreation,Recreation,Marinas,Special Use,,NA,NA
6670,098_SA1,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,Requires Design Review
6671,098_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6672,098_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6673,098_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6674,098_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6675,098_SA1,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6676,098_SA1,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6677,098_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6678,098_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6679,098_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,Requires Design Review
6680,098_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Special Use,,NA,NA
6681,098_SA1,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6682,098_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,Requires Design Review
6683,098_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,Requires Design Review
6684,098_SA2,Residential,Residential,Employee Housing,Special Use,15,units per acre,Requires Design Review
6685,098_SA2,Residential,Residential,Single Family Dwelling,Special Use,,NA,NA
6686,098_SA2,Residential,Residential,Multiple Family Dwelling,Special Use,15,units per acre,NA
6687,098_SA2,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Special Use,10,units per acre,NA
6688,098_SA2,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Special Use,40,units per acre,15 units per acre with 10% or more units with kitchens
6689,098_SA2,Commercial,Retail,General Merchandise Stores,Allowed,,NA,Requires Design Review
6690,098_SA2,Commercial,Retail,Mail Order and Vending,Allowed,,NA,Requires Design Review
6691,098_SA2,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,No Outside Storage
6692,098_SA2,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
6693,098_SA2,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,Requires Design Review
6694,098_SA2,Commercial,Retail,Service Stations,Special Use,,NA,Pumps/Use Permit
6695,098_SA2,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,Pumps/Use Permit
6696,098_SA2,Commercial,Retail,"Furniture, Home Furnishings and Equipment",Allowed,,NA,Requires Design Review
6697,098_SA2,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,Requires Design Review
6698,098_SA2,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
6699,098_SA2,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
6700,098_SA2,Commercial,Services,Animal Husbandry Services,Allowed,,NA,Requires Design Review
6701,098_SA2,Commercial,Services,Personal Services,Allowed,,NA,Requires Design Review
6702,098_SA2,Commercial,Services,Professional Offices,Allowed,,NA,Requires Design Review
6703,098_SA2,Commercial,Services,Broadcasting Studios,Allowed,,NA,Requires Design Review
6704,098_SA2,Commercial,Services,Repair Services,Special Use,,NA,No Outside Storage
6705,098_SA2,Commercial,Services,Business Support Services,Allowed,,NA,Requires Design Review
6706,098_SA2,Commercial,Services,Schools - Business and Vocational,Allowed,,NA,Requires Design Review
6707,098_SA2,Commercial,Services,Health Care Services,Allowed,,NA,Requires Design Review
6708,098_SA2,Commercial,Light Industrial,Printing and Publishing,Special Use,,NA,NA
6709,098_SA2,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
6710,098_SA2,Public Services,General,Local Public Health and Safety Facilities,Special Use,,NA,NA
6711,098_SA2,Public Services,General,Religious Assembly,Allowed,,NA,Requires Design Review
6712,098_SA2,Public Services,General,Collection Stations,Special Use,,NA,NA
6713,098_SA2,Public Services,General,Cultural Facilities,Allowed,,NA,Requires Design Review
6714,098_SA2,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,Requires Design Review
6715,098_SA2,Public Services,General,Schools - Pre-Schools,Allowed,,NA,Requires Design Review
6716,098_SA2,Public Services,General,Government Offices,Special Use,,NA,CSLT
6717,098_SA2,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,Requires Design Review
6718,098_SA2,Public Services,General,Local Post Office,Special Use,,NA,NA
6719,098_SA2,Public Services,General,Social Service Organizations,Special Use,,NA,CSLT
6720,098_SA2,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6721,098_SA2,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6722,098_SA2,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6723,098_SA2,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6724,098_SA2,Recreation,Recreation,Beach Recreation,Allowed,,NA,Requires Design Review
6725,098_SA2,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,CSLT
6726,098_SA2,Recreation,Recreation,Boat Launching Facilities,Allowed,,NA,Requires Design Review
6727,098_SA2,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6728,098_SA2,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,Requires Design Review
6729,098_SA2,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6730,098_SA2,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6731,098_SA2,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6732,098_SA2,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6733,098_SA2,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6734,098_SA2,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6735,098_SA2,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6736,098_SA2,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
6737,098_SA2,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6738,098_SA2,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,Requires Design Review
6739,098_SA2,Resource Management,Vegetation Protection,Insect and Disease Suppression,Special Use,,NA,NA
6740,098_SA2,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6741,098_SA2,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,Requires Design Review
6742,098_SA2,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,Requires Design Review
6743,098_SA2,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,Requires Design Review
6744,098_SA3,Commercial,Retail,General Merchandise Stores,Allowed,,NA,Requires Design Review
6745,098_SA3,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,College
6746,098_SA3,Commercial,Retail,Nursery,Special Use,,NA,College
6747,098_SA3,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
6748,098_SA3,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,Requires Design Review
6749,098_SA3,Commercial,Retail,Service Stations,Special Use,,NA,Pumps/Use Permit
6750,098_SA3,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,Requires Design Review
6751,098_SA3,Commercial,Retail,"Furniture, Home Furnishings and Equipment",Allowed,,NA,Requires Design Review
6752,098_SA3,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,Requires Design Review
6753,098_SA3,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
6754,098_SA3,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
6755,098_SA3,Commercial,Services,Animal Husbandry Services,Allowed,,NA,Requires Design Review
6756,098_SA3,Commercial,Services,Personal Services,Allowed,,NA,Requires Design Review
6757,098_SA3,Commercial,Services,Professional Offices,Allowed,,NA,Requires Design Review
6758,098_SA3,Commercial,Services,Broadcasting Studios,Allowed,,NA,Requires Design Review
6759,098_SA3,Commercial,Services,Repair Services,Special Use,,NA,No Outside Storage
6760,098_SA3,Commercial,Services,Business Support Services,Allowed,,NA,Requires Design Review
6761,098_SA3,Commercial,Services,Schools - Business and Vocational,Allowed,,NA,Requires Design Review
6762,098_SA3,Commercial,Services,Health Care Services,Allowed,,NA,Requires Design Review
6763,098_SA3,Commercial,Light Industrial,Printing and Publishing,Special Use,,NA,NA
6764,098_SA3,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
6765,098_SA3,Public Services,General,Local Public Health and Safety Facilities,Special Use,,NA,College
6766,098_SA3,Public Services,General,Religious Assembly,Allowed,,NA,Requires Design Review
6767,098_SA3,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6768,098_SA3,Public Services,General,Collection Stations,Special Use,,NA,NA
6769,098_SA3,Public Services,General,Cultural Facilities,Allowed,,NA,Requires Design Review
6770,098_SA3,Public Services,General,Schools - Pre-Schools,Allowed,,NA,Requires Design Review
6771,098_SA3,Public Services,General,Government Offices,Special Use,,NA,CSLT
6772,098_SA3,Public Services,General,Schools - College,Allowed,,NA,Requires Design Review
6773,098_SA3,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
6774,098_SA3,Public Services,General,Schools - Kindergarten Through Secondary,Allowed,,NA,Requires Design Review
6775,098_SA3,Public Services,General,Local Post Office,Allowed,,NA,NA
6776,098_SA3,Public Services,General,Social Service Organizations,Special Use,,NA,CSLT
6777,098_SA3,Public Services,Linear Public Facilities,Threshold-Related Research Facilities,Special Use,,NA,Amended 10/28/98
6778,098_SA3,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6779,098_SA3,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6780,098_SA3,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6781,098_SA3,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6782,098_SA3,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
6783,098_SA3,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6784,098_SA3,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,Requires Design Review
6785,098_SA3,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6786,098_SA3,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6787,098_SA3,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6788,098_SA3,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6789,098_SA3,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6790,098_SA3,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6791,098_SA3,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6792,098_SA3,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
6793,098_SA3,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6794,098_SA3,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,Requires Design Review
6795,098_SA3,Resource Management,Vegetation Protection,Insect and Disease Suppression,Special Use,,NA,NA
6796,098_SA3,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6797,098_SA3,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,Requires Design Review
6798,098_SA3,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,Requires Design Review
6799,098_SA3,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,Requires Design Review
6800,098_SA4,Residential,Residential,Employee Housing,Special Use,15,units per acre,Requires Design Review
6801,098_SA4,Residential,Residential,Residential Care,Allowed,25,units per acre,Requires Design Review. Specific Parcels Only.
6802,098_SA4,Residential,Residential,Multiple Family Dwelling,Allowed,15,units per acre,Requires Design Review. Specific Parcels Only.
6803,098_SA4,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6804,098_SA4,Commercial,Retail,Food and Beverage Retail Sales,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6805,098_SA4,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,Specific Parcels Only
6806,098_SA4,Commercial,Services,Professional Offices,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6807,098_SA4,Commercial,Services,Business Support Services,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6808,098_SA4,Commercial,Services,Schools - Business and Vocational,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6809,098_SA4,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6810,098_SA4,Public Services,General,Cemetery,Special Use,,NA,NA
6811,098_SA4,Public Services,General,Religious Assembly,Allowed,,NA,Requires Design Review
6812,098_SA4,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6813,098_SA4,Public Services,General,Collection Stations,Special Use,,NA,NA
6814,098_SA4,Public Services,General,Cultural Facilities,Allowed,,NA,Requires Design Review
6815,098_SA4,Public Services,General,Public Utility Centers,Special Use,,NA,NA
6816,098_SA4,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,"Requires Design Review
"
6817,098_SA4,Public Services,General,Schools - Pre-Schools,Allowed,,NA,Requires Design Review
6818,098_SA4,Public Services,General,Regional Public Health and Safety Facilities,Special Use,,NA,Specific Parcels Only
6819,098_SA4,Public Services,General,Government Offices,Allowed,,NA,Requires Design Review. Specific Parcels Only.
6820,098_SA4,Public Services,General,Schools - College,Allowed,,NA,Requires Design Review
6821,098_SA4,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,"Specific Parcels Only
"
6822,098_SA4,Public Services,General,Schools - Kindergarten Through Secondary,Allowed,,NA,Requires Design Review
6823,098_SA4,Public Services,General,Local Post Office,Special Use,,NA,Specific Parcels Only
6824,098_SA4,Public Services,General,Social Service Organizations,Allowed,,NA,Requires Design Review
6825,098_SA4,Public Services,Linear Public Facilities,Threshold-Related Research Facilities,Special Use,,NA,NA
6826,098_SA4,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6827,098_SA4,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6828,098_SA4,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6829,098_SA4,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6830,098_SA4,Recreation,Recreation,Beach Recreation,Allowed,,NA,Requires Design Review
6831,098_SA4,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
6832,098_SA4,Recreation,Recreation,Boat Launching Facilities,Allowed,,NA,Requires Design Review
6833,098_SA4,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,Shall not be visible from the shorezone.  Amended 11/28/01 
6834,098_SA4,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,Requires Design Review
6835,098_SA4,Recreation,Recreation,Recreation Centers,Allowed,,NA,Requires Design Review
6836,098_SA4,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6837,098_SA4,Recreation,Recreation,Developed Campgrounds,Allowed,8,units per acre,Requires Design Review
6838,098_SA4,Recreation,Recreation,Golf Courses,Special Use,,NA,Specific Parcels Only
6839,098_SA4,Recreation,Recreation,Group Facilities,Special Use,25,persons per acre,Specific Parcels Only
6840,098_SA4,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,Requires Design Review
6841,098_SA4,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6842,098_SA4,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6843,098_SA4,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6844,098_SA4,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6845,098_SA4,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6846,098_SA4,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6847,098_SA4,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6848,098_SA4,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6849,098_SA4,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,Requires Design Review
6850,098_SA4,Resource Management,Vegetation Protection,Insect and Disease Suppression,Special Use,,NA,NA
6851,098_SA4,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6852,098_SA4,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,Requires Design Review
6853,098_SA4,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,Requires Design Review
6854,098_SA4,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,Requires Design Review
6855,099_SA1,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
6856,099_SA1,Residential,Residential,Multi-Person Dwelling,Special Use,15,units per acre,NA
6857,099_SA1,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Special Use,,NA,NA
6858,099_SA1,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Special Use,,NA,NA
6859,099_SA1,Public Services,General,Local Public Health and Safety Facilities,Special Use,,NA,NA
6860,099_SA1,Public Services,General,Religious Assembly,Special Use,,NA,NA
6861,099_SA1,Public Services,General,Public Utility Centers,Special Use,,NA,NA
6862,099_SA1,Public Services,General,Local Post Office,Special Use,,NA,NA
6863,099_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6864,099_SA1,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6865,099_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6866,099_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6867,099_SA1,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
6868,099_SA1,Recreation,Recreation,Outdoor Recreation Concessions,Special Use,,NA,NA
6869,099_SA1,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,NA
6870,099_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6871,099_SA1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
6872,099_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6873,099_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6874,099_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6875,099_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6876,099_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6877,099_SA1,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
6878,099_SA1,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
6879,099_SA1,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
6880,099_SA1,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
6881,099_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6882,099_SA1,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
6883,099_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
6884,099_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
6885,099_SA1,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6886,099_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
6887,099_SA1,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
6888,099_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
6889,101_SA1,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
6890,101_SA1,Public Services,General,Special Event Area,Allowed,,NA,NA
6891,101_SA1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Allowed,,NA,NA
6892,101_SA1,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
6893,101_SA1,Public Services,Linear Public Facilities,Transit Stations and Terminals,Allowed,,NA,NA
6894,101_SA1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Allowed,,NA,NA
6895,101_SA1,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
6896,101_SA1,Recreation,Recreation,Participant Sports Facilities,Allowed,,NA,NA
6897,101_SA1,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
6898,101_SA1,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6899,101_SA1,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
6900,101_SA1,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6901,101_SA1,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6902,101_SA1,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6903,101_SA1,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6904,101_SA1,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6905,101_SA1,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6906,101_SA1,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6907,101_SA1,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
6908,101_SA1,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
6909,101_SA1,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6910,101_SA1,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
6911,101_SA1,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
6912,101_SA1,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
6913,101_SA1,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
6914,101_SA1,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
6915,101_SA1,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
6916,101_SA1,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
6917,TCAP_OS,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
6918,TCAP_OS,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6919,TCAP_OS,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6920,TCAP_OS,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6921,TCAP_OS,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6922,TCAP_OS,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6923,TCAP_OS,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6924,TCAP_OS,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6925,TCAP_OS,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
6926,TCAP_OS,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6927,TCAP_OS,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6928,TCAP_OS,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6929,TCAP_OS,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6930,TCAP_OS,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6931,TCAP_OS,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
6932,TCAP_OS,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
6933,TCAP_OS,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
6934,TCAP_OS,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
